ID,Gender,Age,ZIP Code,Education,Experience,Family,Income,CCAvg,Mortgage,Securities Account,CD Account,Online,CreditCard,Personal Loan,,Income,Bin Size,Frequency table for INCOME column,,,,,CCAvg,Bin Size,Frequency table for CCAvg column,,,,,,Experience,Bin Size,Frequency table for EXPERIENCE column,,,,
A_29,M,57,94305,1,31,3,45,1.4,198,0,0,1,0,0,,190,,,,,,,7.6,,,,,,,,40,,,,,,
A_30,M,40,93117,1,14,1,39,2,0,0,0,1,0,0,,190,,,,,,,7.5,,,,,,,,40,,,,,,
A_31,M,50,94115,1,25,2,192,2.8,238,0,0,0,1,0,,190,,,,,,,7.5,,,,,,,,40,,,,,,
A_32,M,29,94301,1,5,1,195,4.3,0,0,0,0,0,0,,190,,,,,,,7.5,,,,,,,,40,,,,,,
A_33,M,46,95616,1,22,3,83,0.7,0,0,0,0,0,0,,190,,,,,,,7.5,,,,,,,,40,,,,,,
A_34,M,42,91302,2,15,3,34,1,0,1,0,1,0,0,,190,,,,,,,7.5,,,,,,,,40,,,,,,
A_35,M,59,93009,2,33,4,49,1.7,104,0,0,1,0,0,,189,,,,,,,7.4,,,,,,,,40,,,,,,
A_36,F,31,94143,3,1,4,60,4,244,0,0,0,0,0,,188,,,,,,,7.4,,,,,,,,40,,,,,,
A_37,M,51,94939,1,25,4,41,1.8,0,0,0,0,0,0,,188,,,,,,,7.4,,,,,,,,40,,,,,,
A_38,M,35,91320,1,10,3,72,2.3,285,0,0,0,0,0,,188,,,,,,,7.4,,,,,,,,40,,,,,,
A_39,F,59,92677,2,35,4,102,3,115,0,0,1,0,1,,185,,,,,,,7.4,,,,,,,,40,,,,,,
A_40,F,35,95605,1,10,3,31,1.3,0,0,0,0,0,0,,185,,,,,,,7.4,,,,,,,,40,,,,,,
A_41,F,46,93106,2,20,1,73,1.5,128,0,0,1,0,0,,185,,,,,,,7.3,,,,,,,,40,,,,,,
A_42,M,34,91763,1,9,1,89,0,0,0,0,1,0,0,,185,,,,,,,7.3,,,,,,,,40,,,,,,
A_43,M,55,92109,3,29,4,19,0.7,121,1,0,0,1,0,,185,,,,,,,7.3,,,,,,,,40,,,,,,
A_44,M,64,94706,2,40,4,63,1.2,0,0,0,1,0,0,,185,,,,,,,7.3,,,,,,,,39,,,,,,
A_45,F,34,95758,3,9,3,104,1.2,0,0,0,1,0,0,,184,,,,,,,7.3,,,,,,,,39,,,,,,
A_46,F,61,95064,2,35,1,40,0.8,128,0,0,1,0,0,,184,,,,,,,7.2,,,,,,,,39,,,,,,
A_47,F,63,94710,3,39,2,92,0,0,0,0,1,0,0,,184,,,,,,,7.2,,,,,,,,39,,,,,,
A_48,M,59,92350,2,33,2,72,0.7,226,0,0,0,0,0,,184,,,,,,,7.2,,,,,,,,39,,,,,,
A_49,M,51,94305,2,27,3,44,1.9,141,0,0,0,0,0,,184,,,,,,,7.2,,,,,,,,39,,,,,,
A_50,F,41,94705,1,16,4,114,3.5,0,0,0,0,1,1,,184,,,,,,,7,,,,,,,,39,,,,,,
A_51,F,37,95758,1,13,4,73,2.4,0,0,0,0,0,0,,183,,,,,,,7,,,,,,,,39,,,,,,
A_52,F,64,91711,2,40,4,63,1.2,0,1,0,0,1,0,,183,,,,,,,7,,,,,,,,39,,,,,,
A_53,M,44,92028,3,20,1,69,0.8,184,0,1,1,1,0,,183,,,,,,,7,,,,,,,,39,,,,,,
A_54,F,62,92106,1,37,3,42,1.5,0,0,0,1,0,0,,183,,,,,,,7,,,,,,,,39,,,,,,
A_55,F,50,90037,1,26,1,88,2.7,0,0,0,1,0,0,,183,,,,,,,7,,,,,,,,39,,,,,,
A_56,F,43,92131,1,18,2,98,0.4,0,0,0,1,0,0,,183,,,,,,,6.9,,,,,,,,39,,,,,,
A_57,F,34,92093,1,8,1,65,3,227,0,0,1,0,1,,183,,,,,,,6.9,,,,,,,,39,,,,,,
A_58,M,38,94143,2,13,2,12,0.3,104,1,0,1,0,0,,182,,,,,,,6.9,,,,,,,,39,,,,,,
A_59,M,29,94305,1,5,4,122,3,0,0,0,0,1,1,,182,,,,,,,6.9,,,,,,,,39,,,,,,
A_60,F,39,92093,3,14,2,12,0,0,0,0,0,0,0,,182,,,,,,,6.9,,,,,,,,39,,,,,,
A_61,F,53,94105,1,29,2,24,0.2,0,0,0,0,1,0,,182,,,,,,,6.9,,,,,,,,39,,,,,,
A_62,F,43,92037,1,19,4,170,4.25,318,0,1,1,1,1,,182,,,,,,,6.9,,,,,,,,39,,,,,,
A_63,F,61,92028,2,36,4,184,2.3,342,0,1,1,1,1,,182,,,,,,,6.8,,,,,,,,39,,,,,,
A_64,F,46,93401,3,20,4,25,0.6,125,0,0,0,0,0,,182,,,,,,,6.7,,,,,,,,39,,,,,,
A_65,F,57,90502,1,31,2,131,2.7,0,0,0,0,0,0,,181,,,,,,,6.7,,,,,,,,39,,,,,,
A_66,F,59,94122,3,33,2,50,2.3,0,0,0,0,1,0,,181,,,,,,,6.7,,,,,,,,39,,,,,,
A_67,M,52,94035,1,28,2,21,0.4,0,1,0,1,0,0,,180,,,,,,,6.7,,,,,,,,39,,,,,,
A_68,F,29,95616,2,3,3,55,1.1,0,0,0,1,0,0,,180,,,,,,,6.7,,,,,,,,39,,,,,,
A_69,F,57,90049,2,32,1,124,0.2,0,0,0,1,0,1,,180,,,,,,,6.7,,,,,,,,39,,,,,,
A_70,F,49,95819,1,23,4,58,2.6,188,0,0,0,0,0,,180,,,,,,,6.7,,,,,,,,39,,,,,,
A_71,M,39,95817,1,13,2,72,2.8,0,0,0,1,0,0,,180,,,,,,,6.7,,,,,,,,39,,,,,,
A_72,M,56,90089,3,31,1,192,7,0,0,1,1,0,1,,180,,,,,,,6.67,,,,,,,,39,,,,,,
A_73,F,63,91320,2,38,3,83,1.8,0,0,0,1,0,0,,180,,,,,,,6.67,,,,,,,,39,,,,,,
A_74,M,37,90025,1,12,1,93,2.8,0,1,0,1,0,0,,180,,,,,,,6.67,,,,,,,,38,,,,,,
A_75,F,56,94305,3,26,3,38,1,110,1,0,1,0,0,,179,,,,,,,6.67,,,,,,,,38,,,,,,
A_76,M,45,92606,3,20,4,55,1.9,164,1,0,0,0,0,,179,,,,,,,6.67,,,,,,,,38,,,,,,
A_77,M,66,92325,3,41,3,11,0.1,0,1,0,0,1,0,,179,,,,,,,6.5,,,,,,,,38,,,,,,
A_78,F,40,94550,1,15,2,85,0.4,0,1,0,0,0,0,,179,,,,,,,6.5,,,,,,,,38,,,,,,
A_79,M,50,93305,1,24,1,124,4.9,266,0,0,1,0,0,,179,,,,,,,6.5,,,,,,,,38,,,,,,
A_80,F,60,92028,1,36,2,129,6,0,0,0,1,0,0,,179,,,,,,,6.5,,,,,,,,38,,,,,,
A_81,M,31,93407,1,7,1,180,4.3,0,0,0,0,0,0,,179,,,,,,,6.5,,,,,,,,38,,,,,,
A_82,M,40,90245,2,14,4,74,1.4,0,0,0,1,0,0,,179,,,,,,,6.5,,,,,,,,38,,,,,,
A_83,F,36,92152,3,6,1,138,7,86,0,0,1,0,1,,178,,,,,,,6.5,,,,,,,,38,,,,,,
A_84,M,55,90502,3,29,2,111,3.6,0,0,0,0,1,1,,178,,,,,,,6.5,,,,,,,,38,,,,,,
A_85,F,54,93555,1,28,3,83,0.8,0,0,0,1,0,0,,178,,,,,,,6.4,,,,,,,,38,,,,,,
A_86,F,35,90266,1,10,4,33,1.7,87,0,0,1,0,0,,178,,,,,,,6.33,,,,,,,,38,,,,,,
A_87,F,55,92028,3,29,4,21,0.7,0,0,0,0,0,0,,175,,,,,,,6.33,,,,,,,,38,,,,,,
A_88,F,36,94608,1,10,2,35,0.3,98,0,0,1,0,0,,175,,,,,,,6.3,,,,,,,,38,,,,,,
A_89,M,66,93023,3,41,1,105,0.8,0,1,1,1,1,0,,175,,,,,,,6.3,,,,,,,,38,,,,,,
A_90,M,38,94305,2,14,1,103,0.8,0,0,0,0,1,0,,175,,,,,,,6.3,,,,,,,,38,,,,,,
A_91,F,58,92096,3,32,2,75,2.3,0,0,0,0,0,0,,175,,,,,,,6.3,,,,,,,,38,,,,,,
A_92,F,41,94550,1,17,1,33,0.7,104,0,0,0,0,0,,175,,,,,,,6.1,,,,,,,,38,,,,,,
A_93,F,60,94305,2,34,4,52,1.7,0,1,0,1,0,0,,175,,,,,,,6.1,,,,,,,,38,,,,,,
A_94,F,47,94920,2,23,1,89,2.6,0,1,1,1,1,0,,174,,,,,,,6.1,,,,,,,,38,,,,,,
A_95,M,62,93109,3,36,1,63,2.5,0,0,0,0,0,0,,174,,,,,,,6.1,,,,,,,,38,,,,,,
A_96,F,48,94402,2,23,4,84,3.1,0,1,1,1,0,1,,173,,,,,,,6.1,,,,,,,,38,,,,,,
A_97,M,61,91302,1,36,4,44,2.1,0,0,0,0,0,0,,173,,,,,,,6.1,,,,,,,,38,,,,,,
A_98,F,29,94720,1,3,3,29,1,0,0,0,1,1,0,,173,,,,,,,6.1,,,,,,,,38,,,,,,
A_99,F,45,90005,3,21,1,29,0.3,0,0,0,1,0,0,,173,,,,,,,6,,,,,,,,38,,,,,,
A_100,F,39,94035,2,14,2,22,0.3,0,0,0,1,0,0,,172,,,,,,,6,,,,,,,,38,,,,,,
A_101,M,31,92093,1,6,4,53,2.2,114,0,0,1,0,0,,172,,,,,,,6,,,,,,,,38,,,,,,
A_102,M,39,94611,2,14,2,24,0.3,0,0,0,1,0,0,,172,,,,,,,6,,,,,,,,38,,,,,,
A_103,M,63,90045,1,38,1,153,1.3,455,0,0,0,0,0,,172,,,,,,,6,,,,,,,,38,,,,,,
A_104,F,28,90024,2,2,2,31,0.3,0,1,0,1,0,0,,172,,,,,,,6,,,,,,,,38,,,,,,
A_105,M,56,94542,2,30,2,21,0.7,0,0,0,1,0,0,,171,,,,,,,6,,,,,,,,38,,,,,,
A_106,F,31,93108,1,6,2,180,6.7,0,0,0,0,0,0,,171,,,,,,,6,,,,,,,,38,,,,,,
A_107,F,46,91016,2,20,3,82,0.7,0,0,0,1,1,0,,171,,,,,,,6,,,,,,,,38,,,,,,
A_108,M,42,95064,1,18,4,90,0.8,245,1,0,0,0,0,,171,,,,,,,6,,,,,,,,38,,,,,,
A_109,M,53,93407,3,29,4,154,7.4,0,0,0,0,0,1,,170,,,,,,,6,,,,,,,,38,,,,,,
A_110,F,41,92096,2,17,2,99,1.8,0,0,0,1,1,0,,170,,,,,,,5.9,,,,,,,,38,,,,,,
A_111,M,61,91105,2,36,1,153,2.6,0,1,1,0,1,1,,170,,,,,,,5.9,,,,,,,,37,,,,,,
A_112,F,31,95032,2,5,2,93,3.1,0,0,0,1,0,1,,170,,,,,,,5.8,,,,,,,,37,,,,,,
A_113,F,62,92121,2,38,1,53,0,0,0,0,0,0,0,,170,,,,,,,5.8,,,,,,,,37,,,,,,
A_114,M,59,95814,2,34,3,18,1.3,104,0,1,1,1,0,,170,,,,,,,5.7,,,,,,,,37,,,,,,
A_115,M,49,91330,1,24,1,70,2.9,0,0,0,0,0,0,,169,,,,,,,5.7,,,,,,,,37,,,,,,
A_116,M,65,92122,3,39,4,100,1.7,0,0,0,0,1,0,,169,,,,,,,5.7,,,,,,,,37,,,,,,
A_117,M,30,94022,3,6,3,193,6.3,0,0,0,1,0,1,,169,,,,,,,5.7,,,,,,,,37,,,,,,
A_118,M,32,95133,1,7,1,125,0,0,0,0,1,1,0,,168,,,,,,,5.7,,,,,,,,37,,,,,,
A_119,M,56,94571,3,31,2,68,0,0,1,0,1,0,0,,168,,,,,,,5.7,,,,,,,,37,,,,,,
A_120,M,36,90009,1,10,1,55,2,95,0,0,1,0,0,,168,,,,,,,5.67,,,,,,,,37,,,,,,
A_121,F,58,92182,3,34,4,152,3.6,0,0,0,0,0,1,,168,,,,,,,5.67,,,,,,,,37,,,,,,
A_122,M,27,95814,1,3,3,84,1.5,0,0,0,1,1,0,,168,,,,,,,5.6,,,,,,,,37,,,,,,
A_123,F,41,91125,3,16,2,13,0,0,0,0,1,0,0,,164,,,,,,,5.5,,,,,,,,37,,,,,,
A_124,M,59,91355,1,35,4,33,0.4,131,0,0,0,1,0,,164,,,,,,,5.4,,,,,,,,37,,,,,,
A_125,F,56,92096,2,32,4,89,1,90,1,0,1,0,0,,164,,,,,,,5.4,,,,,,,,37,,,,,,
A_126,M,52,91745,1,26,1,93,2.4,0,0,0,1,0,0,,164,,,,,,,5.4,,,,,,,,37,,,,,,
A_127,F,35,90509,3,5,4,68,1.8,0,0,0,0,0,0,,163,,,,,,,5.4,,,,,,,,37,,,,,,
A_128,F,47,93106,2,21,2,85,1.7,0,0,0,0,1,0,,163,,,,,,,5.4,,,,,,,,37,,,,,,
A_129,M,29,95039,2,4,1,73,0.8,0,0,0,1,0,0,,163,,,,,,,5.4,,,,,,,,37,,,,,,
A_130,M,31,92131,2,6,4,83,2.2,106,0,0,1,0,0,,163,,,,,,,5.4,,,,,,,,37,,,,,,
A_131,F,62,94301,3,36,2,158,6.3,0,0,0,1,0,1,,163,,,,,,,5.4,,,,,,,,37,,,,,,
A_132,F,48,92626,3,18,4,182,6,0,0,0,1,0,1,,163,,,,,,,5.33,,,,,,,,37,,,,,,
A_133,F,26,96651,3,1,2,24,0.9,123,0,0,0,1,0,,163,,,,,,,5.3,,,,,,,,37,,,,,,
A_134,F,60,94305,1,34,2,102,2,0,0,0,1,1,0,,162,,,,,,,5.2,,,,,,,,37,,,,,,
A_135,M,35,91355,1,11,3,53,2.8,0,0,0,0,0,0,,162,,,,,,,5.2,,,,,,,,37,,,,,,
A_136,F,40,92646,1,15,2,175,3.3,0,0,0,1,0,0,,162,,,,,,,5.2,,,,,,,,37,,,,,,
A_137,M,31,94538,1,5,3,28,1,0,0,0,1,0,0,,162,,,,,,,5.2,,,,,,,,37,,,,,,
A_138,F,50,92037,1,25,4,14,0.8,0,0,0,1,0,0,,161,,,,,,,5.2,,,,,,,,37,,,,,,
A_139,M,33,95828,3,7,1,139,4,106,0,1,1,1,1,,161,,,,,,,5.2,,,,,,,,37,,,,,,
A_140,F,37,95747,1,11,3,34,0.9,0,0,0,1,0,0,,161,,,,,,,5.2,,,,,,,,37,,,,,,
A_141,M,38,92093,3,14,1,64,1.5,0,0,0,0,1,0,,161,,,,,,,5.1,,,,,,,,37,,,,,,
A_142,M,63,94607,2,38,4,84,0.1,0,0,0,0,0,0,,161,,,,,,,5.1,,,,,,,,37,,,,,,
A_143,F,57,95070,2,32,3,42,0.5,0,1,0,1,0,0,,161,,,,,,,5,,,,,,,,37,,,,,,
A_144,F,61,91605,1,35,1,63,1.6,0,0,0,1,0,0,,161,,,,,,,5,,,,,,,,37,,,,,,
A_145,M,37,92735,3,12,3,100,1.2,341,0,0,1,1,0,,160,,,,,,,5,,,,,,,,37,,,,,,
A_146,F,51,95138,2,25,2,190,4.2,0,0,0,1,0,1,,160,,,,,,,5,,,,,,,,37,,,,,,
A_147,F,44,90024,1,20,1,22,1,91,0,0,0,0,0,,160,,,,,,,5,,,,,,,,37,,,,,,
A_148,F,63,90066,2,37,1,20,0.8,0,1,0,0,1,0,,160,,,,,,,5,,,,,,,,37,,,,,,
A_149,M,43,95037,2,18,2,21,1.4,0,0,0,1,1,0,,160,,,,,,,5,,,,,,,,37,,,,,,
A_150,M,38,95135,2,14,4,25,0.4,101,0,0,1,0,0,,160,,,,,,,5,,,,,,,,37,,,,,,
A_151,M,34,92648,3,9,4,20,1.1,0,0,0,1,0,0,,159,,,,,,,5,,,,,,,,37,,,,,,
A_152,M,48,94546,1,23,3,173,0.2,0,0,1,1,1,1,,159,,,,,,,4.9,,,,,,,,37,,,,,,
A_153,F,29,94115,1,5,2,81,2.5,0,0,0,0,1,0,,159,,,,,,,4.9,,,,,,,,37,,,,,,
A_154,M,37,95814,2,11,2,139,0.8,421,0,0,1,0,1,,159,,,,,,,4.9,,,,,,,,37,,,,,,
A_155,F,60,90266,1,35,2,119,3.9,0,1,0,1,0,0,,158,,,,,,,4.9,,,,,,,,37,,,,,,
A_156,M,46,92821,3,20,4,74,2.6,104,0,0,1,0,0,,158,,,,,,,4.9,,,,,,,,37,,,,,,
A_157,M,34,92173,2,10,1,42,1.5,131,0,0,0,0,0,,158,,,,,,,4.9,,,,,,,,37,,,,,,
A_158,F,56,94035,1,30,2,73,1.1,0,0,0,0,0,0,,158,,,,,,,4.9,,,,,,,,37,,,,,,
A_159,M,57,94590,1,31,4,114,5.2,0,1,1,1,0,1,,158,,,,,,,4.9,,,,,,,,37,,,,,,
A_160,M,62,92093,3,36,2,44,1,0,0,0,0,0,0,,158,,,,,,,4.9,,,,,,,,37,,,,,,
A_161,M,32,90005,1,8,2,141,4.33,0,0,0,0,0,0,,158,,,,,,,4.9,,,,,,,,37,,,,,,
A_162,M,51,92182,1,26,2,14,0,103,0,0,1,0,0,,158,,,,,,,4.9,,,,,,,,36,,,,,,
A_163,M,55,92660,3,29,2,33,0.4,0,0,0,0,0,0,,158,,,,,,,4.9,,,,,,,,36,,,,,,
A_164,M,60,94028,1,34,2,83,2,249,0,0,0,0,0,,155,,,,,,,4.8,,,,,,,,36,,,,,,
A_165,M,40,90011,1,16,4,89,0.8,155,0,0,1,0,0,,155,,,,,,,4.8,,,,,,,,36,,,,,,
A_166,M,62,96003,1,38,4,39,2.2,0,1,0,1,0,0,,155,,,,,,,4.8,,,,,,,,36,,,,,,
A_167,M,63,90025,3,39,3,83,2,0,0,0,1,1,0,,155,,,,,,,4.8,,,,,,,,36,,,,,,
A_168,F,60,92152,1,34,2,108,2,359,0,0,1,0,0,,155,,,,,,,4.8,,,,,,,,36,,,,,,
A_169,F,59,92028,2,34,3,21,1.3,0,0,0,1,1,0,,155,,,,,,,4.8,,,,,,,,36,,,,,,
A_170,F,26,95521,1,1,1,102,1.9,0,0,0,0,0,0,,155,,,,,,,4.75,,,,,,,,36,,,,,,
A_171,M,56,94117,3,32,1,48,1.6,0,0,0,0,1,0,,155,,,,,,,4.75,,,,,,,,36,,,,,,
A_172,M,58,93014,1,32,3,32,1.4,0,0,0,1,0,0,,154,,,,,,,4.7,,,,,,,,36,,,,,,
A_173,M,57,95616,1,31,1,43,0.2,0,0,0,0,0,0,,154,,,,,,,4.7,,,,,,,,36,,,,,,
A_174,F,48,94025,2,23,4,35,0.4,118,0,0,0,0,0,,154,,,,,,,4.7,,,,,,,,36,,,,,,
A_175,F,30,91911,1,6,1,184,6,0,0,0,1,0,0,,154,,,,,,,4.7,,,,,,,,36,,,,,,
A_176,M,45,91024,1,21,2,140,7.6,132,0,0,0,0,0,,154,,,,,,,4.7,,,,,,,,36,,,,,,
A_177,F,64,90065,2,38,3,32,0.7,0,0,0,1,1,0,,154,,,,,,,4.7,,,,,,,,36,,,,,,
A_178,M,44,92121,1,20,1,149,1.7,0,0,0,1,0,0,,154,,,,,,,4.7,,,,,,,,36,,,,,,
A_179,M,51,94720,3,25,4,15,0.6,0,0,0,0,1,0,,154,,,,,,,4.7,,,,,,,,36,,,,,,
A_180,M,43,90089,2,16,3,71,2.33,0,0,0,0,0,0,,154,,,,,,,4.7,,,,,,,,36,,,,,,
A_181,M,29,94304,2,3,4,108,1.8,0,0,0,0,0,0,,154,,,,,,,4.7,,,,,,,,36,,,,,,
A_182,M,56,93555,1,30,2,122,0.5,0,0,0,0,1,0,,154,,,,,,,4.67,,,,,,,,36,,,,,,
A_183,F,65,94542,3,41,3,40,0.1,0,0,0,1,0,0,,153,,,,,,,4.6,,,,,,,,36,,,,,,
A_184,F,46,95521,1,22,2,198,6.67,0,0,0,0,1,0,,153,,,,,,,4.6,,,,,,,,36,,,,,,
A_185,F,48,90245,2,24,4,79,1.4,0,1,0,0,1,0,,153,,,,,,,4.6,,,,,,,,36,,,,,,
A_186,M,56,92672,3,31,1,84,0.1,0,0,0,1,0,0,,153,,,,,,,4.6,,,,,,,,36,,,,,,
A_187,M,61,92374,2,37,3,31,0.4,0,0,0,0,1,0,,153,,,,,,,4.6,,,,,,,,36,,,,,,
A_188,M,46,90250,3,20,4,12,0.6,0,0,0,0,1,0,,152,,,,,,,4.5,,,,,,,,36,,,,,,
A_189,F,58,93555,1,34,2,88,1.6,0,0,0,1,1,0,,152,,,,,,,4.5,,,,,,,,36,,,,,,
A_190,M,31,95405,2,5,2,29,0.3,131,0,0,1,1,0,,152,,,,,,,4.5,,,,,,,,36,,,,,,
A_191,F,27,95819,1,3,1,201,6.33,158,0,0,1,0,0,,152,,,,,,,4.5,,,,,,,,36,,,,,,
A_192,F,44,92780,3,20,1,20,1.4,0,0,0,0,0,0,,152,,,,,,,4.5,,,,,,,,36,,,,,,
A_193,M,44,90405,1,20,1,15,1,0,0,0,1,0,0,,152,,,,,,,4.5,,,,,,,,36,,,,,,
A_194,M,51,94720,1,27,2,155,0.4,107,0,0,0,1,0,,151,,,,,,,4.5,,,,,,,,36,,,,,,
A_195,M,39,95370,2,13,3,25,0.2,0,0,0,1,0,0,,151,,,,,,,4.5,,,,,,,,36,,,,,,
A_196,F,32,91330,1,8,2,200,6.5,565,0,0,1,0,0,,150,,,,,,,4.5,,,,,,,,36,,,,,,
A_197,M,33,93727,2,7,1,101,2.7,233,0,0,0,0,0,,150,,,,,,,4.5,,,,,,,,36,,,,,,
A_198,M,40,92028,2,16,4,19,0.4,0,0,0,1,1,0,,150,,,,,,,4.5,,,,,,,,36,,,,,,
A_199,F,36,91304,1,12,2,188,6.5,0,0,0,1,1,0,,149,,,,,,,4.5,,,,,,,,36,,,,,,
A_200,F,52,95060,1,28,1,8,0.3,0,0,0,1,0,0,,149,,,,,,,4.5,,,,,,,,36,,,,,,
A_201,F,54,92867,3,29,2,59,2.3,152,0,0,1,0,0,,149,,,,,,,4.5,,,,,,,,36,,,,,,
A_202,F,26,92647,1,2,4,72,2.6,0,1,1,1,0,0,,149,,,,,,,4.5,,,,,,,,36,,,,,,
A_203,F,39,95821,3,15,1,55,1.5,0,0,0,1,0,0,,149,,,,,,,4.4,,,,,,,,36,,,,,,
A_204,F,46,90025,2,19,3,24,0.67,0,0,0,1,0,0,,149,,,,,,,4.4,,,,,,,,36,,,,,,
A_205,F,57,95348,1,32,1,19,1.3,0,0,0,1,0,0,,149,,,,,,,4.4,,,,,,,,36,,,,,,
A_206,F,59,91335,3,33,2,71,2.3,150,0,0,1,1,0,,149,,,,,,,4.4,,,,,,,,36,,,,,,
A_207,F,52,90049,2,26,2,54,1.5,0,0,0,0,1,0,,148,,,,,,,4.4,,,,,,,,36,,,,,,
A_208,F,52,95405,3,26,1,28,0.3,0,0,0,1,0,0,,148,,,,,,,4.4,,,,,,,,36,,,,,,
A_209,F,50,91320,3,20,4,25,0.4,0,0,0,1,0,0,,148,,,,,,,4.4,,,,,,,,36,,,,,,
A_210,F,41,94402,3,17,2,51,0.6,0,0,0,0,1,0,,148,,,,,,,4.4,,,,,,,,36,,,,,,
A_211,F,43,92122,1,19,3,125,2.4,0,0,0,1,0,1,,145,,,,,,,4.4,,,,,,,,36,,,,,,
A_212,M,25,94566,2,0,2,88,1.8,319,0,0,1,1,0,,145,,,,,,,4.33,,,,,,,,36,,,,,,
A_213,F,40,95125,1,16,2,125,2.2,0,0,0,1,0,0,,145,,,,,,,4.33,,,,,,,,36,,,,,,
